gt_area_px,dice,fg_iou,miou
226.0,95.40481400437638,91.21338912133892,95.5856769058394
225.0,87.78054862842892,78.22222222222223,89.06211111111111
216.0,81.19891008174388,68.34862385321101,84.10534916649597
203.0,66.2379421221865,49.519230769230774,74.6547684611237
164.0,89.20454545454545,80.51282051282051,90.21842469092513
182.0,94.85094850948511,90.20618556701031,95.08409316349756
202.0,96.18320610687023,92.64705882352942,96.30852551075044
219.0,95.77464788732394,91.8918918918919,95.92793586029799
232.0,97.59299781181619,95.2991452991453,97.6385622998439
225.0,96.26373626373626,92.79661016949152,96.38129045216174
228.0,91.95876288659794,85.1145038167939,92.51821521390413
229.0,94.0677966101695,88.8,94.37197421627897
226.0,93.30254041570439,87.44588744588745,93.69392863509805
219.0,78.1491002570694,64.13502109704642,81.9825513289486
203.0,60.42296072507553,43.290043290043286,71.51422046281859
165.0,88.45070422535211,79.29292929292929,89.6054802205465
185.0,92.83819628647215,86.63366336633663,93.28983222315752
205.0,95.97989949748744,92.27053140096618,96.11926089904266
221.0,95.57109557109557,91.51785714285714,95.73991754503326
230.0,97.37991266375546,94.8936170212766,97.43479722002513
225.0,94.78260869565217,90.08264462809917,95.01730213710096
229.0,90.65040650406505,82.8996282527881,91.40377084571021
228.0,90.65040650406505,82.8996282527881,91.40377084571021
226.0,92.90322580645162,86.74698795180723,93.3404675547667
218.0,85.11749347258485,74.0909090909091,86.98846936160236
203.0,58.536585365853654,41.37931034482759,70.55387242480997
164.0,89.51841359773371,81.02564102564102,90.47583382802704
184.0,93.12169312169311,87.12871287128714,93.53835643564356
205.0,95.5,91.38755980861244,95.67577450268574
225.0,95.59164733178655,91.55555555555556,95.75876637093369
231.0,97.3913043478261,94.91525423728814,97.44561558757424
227.0,95.94882729211088,92.21311475409836,96.08753873878368
230.0,90.5050505050505,82.65682656826569,91.28136812077602
230.0,92.87169042769857,86.69201520912547,93.31097116666733
229.0,92.67241379310344,86.34538152610442,93.13866422235047
221.0,89.62264150943396,81.19658119658119,90.55427827484004
206.0,74.40633245382587,59.2436974789916,79.52491659199904
169.0,54.700854700854705,37.64705882352941,68.55861418463738
191.0,76.05042016806722,61.35593220338983,80.5639547005548
212.0,59.84251968503938,42.69662921348314,71.14441247976252
230.0,45.935483870967744,29.81574539363484,64.48885593614699
234.0,50.11709601873536,33.4375,66.29242599375526
230.0,45.65587734241908,29.58057395143488,64.47155471081996
229.0,52.45398773006135,35.550935550935556,67.46549877236808
232.0,54.972375690607734,37.904761904761905,68.6262309233676
225.0,80.88888888888889,67.91044776119402,83.86921355935846
221.0,82.72251308900523,70.53571428571429,85.20188089430663
